t (s),V (mV)
0,14.6772
0.999,14.6189
1.999,14.5592
3,14.5041
3.999,14.4355
4.999,14.3499
5.999,14.2767
6.999,14.2073
8,14.151
8.999,14.0641
9.999,13.9985
11,13.9334
12,13.8478
13,13.7865
14,13.7153
14.999,13.6443
15.999,13.5785
16.999,13.5069
17.999,13.4351
19,13.3675
19.999,13.3029
21,13.2365
22,13.1642
22.999,13.1015
23.999,13.0393
25,12.9702
25.999,12.9
27,12.8424
27.999,12.7699
28.999,12.7078
30,12.641
30.999,12.5747
31.999,12.5128
33,12.468
33.999,12.3976
34.999,12.3396
36,12.2663
37,12.2159
37.999,12.1535
38.999,12.0851
39.999,12.0256
40.999,11.9738
41.999,11.9255
43,11.852
43.999,11.7966
45,11.7365
45.999,11.6769
47,11.6077
47.999,11.554
49,11.4967
50,11.4387
51,11.38
52,11.3134
52.999,11.2604
53.999,11.196
55,11.1406
55.999,11.0847
56.999,11.0327
57.999,10.9787
58.999,10.909
60,10.8647
60.999,10.8132
62,10.7527
63,10.7027
63.999,10.6395
64.999,10.5924
65.998,10.5331
66.999,10.4729
67.998,10.4222
68.999,10.3744
69.998,10.3218
70.998,10.2725
71.998,10.223
72.998,10.1603
73.998,10.1144
74.999,10.0602
75.999,10.0096
77,9.9574
78,9.9133
78.999,9.8645
80,9.8162
81,9.7624
81.999,9.7163
82.999,9.6676
83.999,9.6235
84.999,9.5675
85.999,9.5258
87,9.477
88,9.4304
89,9.3828
89.999,9.3368
90.999,9.2883
92,9.2419
92.999,9.1985
94,9.1416
94.999,9.1001
95.999,9.0587
97,9.0083
